epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,5274.36,0.57374,0.51882,0.89384,0.9754,0.95492,0.98907,0.90312,0.41787,0.39619,0.8294,0.0017294,0.0017294,0.0017294
43,5374.6,0.60052,0.52334,0.90721,0.98594,0.95492,0.99042,0.90146,0.44153,0.38954,0.82872,0.0017228,0.0017228,0.0017228
44,5475.99,0.60555,0.49838,0.89639,0.99086,0.95492,0.98943,0.90154,0.42033,0.4021,0.81872,0.0017162,0.0017162,0.0017162
45,5575.93,0.56791,0.48792,0.8988,0.98321,0.95991,0.9903,0.90382,0.41689,0.36737,0.82694,0.0017096,0.0017096,0.0017096
46,5675.36,0.5606,0.47726,0.87664,0.98757,0.95902,0.99278,0.9081,0.41467,0.37488,0.82624,0.001703,0.001703,0.001703
47,5778,0.58256,0.48004,0.90262,0.98332,0.96669,0.99199,0.91555,0.39758,0.36309,0.81848,0.0016964,0.0016964,0.0016964
48,5875.45,0.59314,0.4918,0.91097,0.9904,0.95082,0.98833,0.91144,0.41591,0.3748,0.82333,0.0016898,0.0016898,0.0016898
49,5976.31,0.59497,0.48555,0.89469,0.9759,0.96721,0.993,0.9258,0.39618,0.36585,0.8208,0.0016832,0.0016832,0.0016832
50,6074.98,0.61876,0.49968,0.91217,0.96894,0.96311,0.99179,0.91653,0.40588,0.37485,0.82006,0.0016766,0.0016766,0.0016766
51,6177.18,0.56523,0.47484,0.89884,0.96718,0.96629,0.99157,0.92097,0.39193,0.36427,0.8175,0.00167,0.00167,0.00167
52,6274.52,0.56248,0.48062,0.89972,0.96966,0.98361,0.99176,0.90082,0.42753,0.37393,0.84145,0.0016634,0.0016634,0.0016634
53,6374.3,0.54574,0.47777,0.90311,0.97109,0.96381,0.98458,0.89924,0.40959,0.39495,0.82558,0.0016568,0.0016568,0.0016568
54,6473.15,0.5735,0.45503,0.89896,0.98323,0.96087,0.99133,0.90979,0.39209,0.36204,0.82431,0.0016502,0.0016502,0.0016502
55,6570.82,0.58431,0.47917,0.89495,0.96128,0.96311,0.98852,0.91608,0.37293,0.36387,0.82106,0.0016436,0.0016436,0.0016436
56,6670.76,0.53132,0.44017,0.88324,0.96701,0.96105,0.98839,0.89498,0.44533,0.39885,0.84034,0.001637,0.001637,0.001637
57,6770.88,0.57337,0.46158,0.89975,0.97705,0.95492,0.97997,0.89679,0.40537,0.38742,0.83322,0.0016304,0.0016304,0.0016304
58,6871.46,0.55066,0.43805,0.88643,0.98343,0.97284,0.9899,0.91469,0.38445,0.34555,0.81977,0.0016238,0.0016238,0.0016238
59,6972.51,0.53957,0.43985,0.89551,0.98338,0.96993,0.99017,0.91501,0.37571,0.3486,0.81326,0.0016172,0.0016172,0.0016172
60,7072.7,0.52611,0.4336,0.88079,0.97498,0.95806,0.98894,0.91869,0.3854,0.34463,0.81161,0.0016106,0.0016106,0.0016106
61,7175.8,0.58225,0.47191,0.91735,0.9682,0.98361,0.9925,0.91915,0.38407,0.34529,0.81216,0.001604,0.001604,0.001604
62,7261.27,0.5568,0.45447,0.8966,0.98333,0.96716,0.99244,0.92493,0.3704,0.33675,0.82054,0.0015974,0.0015974,0.0015974
63,7327.71,0.53472,0.43969,0.89246,0.97041,0.97541,0.98883,0.92761,0.3742,0.32526,0.82009,0.0015908,0.0015908,0.0015908
64,7418.17,0.53916,0.44907,0.87345,0.97814,0.97541,0.99134,0.92432,0.37184,0.33035,0.82066,0.0015842,0.0015842,0.0015842
65,7507.94,0.54467,0.45551,0.89618,0.9789,0.95081,0.98598,0.91532,0.37935,0.34534,0.8223,0.0015776,0.0015776,0.0015776
66,7598.45,0.51558,0.43487,0.87813,0.9723,0.94672,0.97577,0.91582,0.37195,0.36025,0.82043,0.001571,0.001571,0.001571
67,7688.37,0.5239,0.43093,0.88474,0.95491,0.9548,0.97735,0.90705,0.38998,0.37066,0.8183,0.0015644,0.0015644,0.0015644
68,7778.79,0.53775,0.42969,0.87261,0.94796,0.97057,0.99011,0.91396,0.39405,0.35697,0.8188,0.0015578,0.0015578,0.0015578
69,7871.12,0.52825,0.42868,0.88196,0.97849,0.97131,0.99254,0.92587,0.37103,0.33634,0.80946,0.0015512,0.0015512,0.0015512
70,7961.53,0.51501,0.3998,0.88396,0.98625,0.95082,0.99109,0.93001,0.35423,0.32805,0.81293,0.0015446,0.0015446,0.0015446
71,8052.06,0.54288,0.4285,0.89015,0.98666,0.96311,0.9905,0.90365,0.41827,0.34701,0.83538,0.001538,0.001538,0.001538
72,8146.84,0.52643,0.42393,0.8872,0.95468,0.94672,0.98874,0.90177,0.42164,0.3674,0.84312,0.0015314,0.0015314,0.0015314
73,8239.83,0.55743,0.45456,0.90407,0.98787,0.96721,0.99297,0.9109,0.39211,0.33672,0.8124,0.0015248,0.0015248,0.0015248
74,8331.17,0.54483,0.42748,0.8861,0.99439,0.93443,0.98827,0.9097,0.39401,0.36768,0.81707,0.0015182,0.0015182,0.0015182
75,8424.08,0.56665,0.44084,0.90562,0.96526,0.95902,0.97988,0.91682,0.36184,0.35112,0.81547,0.0015116,0.0015116,0.0015116
76,8514.99,0.55315,0.44579,0.89271,0.97298,0.94262,0.9833,0.91654,0.37828,0.35697,0.82136,0.001505,0.001505,0.001505
77,8609.12,0.55206,0.43538,0.89494,0.9775,0.95492,0.98443,0.90535,0.37456,0.3529,0.8153,0.0014984,0.0014984,0.0014984
78,8699.96,0.51039,0.43087,0.87662,0.98313,0.95532,0.99259,0.92815,0.35451,0.32346,0.80666,0.0014918,0.0014918,0.0014918
79,8793.02,0.50716,0.41402,0.88199,0.97044,0.9918,0.99385,0.93789,0.34609,0.31808,0.80862,0.0014852,0.0014852,0.0014852
80,8884.55,0.52536,0.42832,0.8808,0.97829,0.94672,0.9891,0.93141,0.35149,0.33901,0.81128,0.0014786,0.0014786,0.0014786
81,8975.9,0.52913,0.44348,0.87293,0.9705,0.97541,0.98766,0.89488,0.39124,0.35463,0.81956,0.001472,0.001472,0.001472
82,9066.89,0.50117,0.42011,0.87948,0.97868,0.97541,0.98359,0.92352,0.34953,0.32212,0.80911,0.0014654,0.0014654,0.0014654
83,9148.4,0.50795,0.41238,0.86882,0.97531,0.95492,0.98816,0.91727,0.38275,0.35121,0.8242,0.0014588,0.0014588,0.0014588
84,9238.39,0.52549,0.42791,0.88522,0.97022,0.97951,0.99275,0.92974,0.36263,0.31031,0.81562,0.0014522,0.0014522,0.0014522
85,9330.57,0.53581,0.43208,0.89596,0.97816,0.98361,0.9935,0.93438,0.37342,0.30241,0.80839,0.0014456,0.0014456,0.0014456
86,9421.46,0.53039,0.43255,0.88078,0.97925,0.96708,0.99241,0.92645,0.36505,0.31441,0.81056,0.001439,0.001439,0.001439
87,9513.07,0.49352,0.40228,0.87689,0.97548,0.9781,0.98911,0.925,0.37402,0.31355,0.81026,0.0014324,0.0014324,0.0014324
88,9613.69,0.51252,0.4205,0.88674,0.98242,0.98361,0.99172,0.9367,0.35171,0.30399,0.80634,0.0014258,0.0014258,0.0014258
89,9706.96,0.52307,0.41952,0.88216,0.97549,0.97855,0.99093,0.91426,0.37366,0.32599,0.81616,0.0014192,0.0014192,0.0014192
90,9798.17,0.49495,0.41145,0.87621,0.9951,0.94672,0.98634,0.91731,0.35677,0.32355,0.8098,0.0014126,0.0014126,0.0014126
91,9889.57,0.54286,0.42547,0.89625,0.98354,0.95492,0.97906,0.9344,0.34177,0.3531,0.80444,0.001406,0.001406,0.001406
92,9981.62,0.50166,0.39385,0.86297,0.97804,0.95902,0.98059,0.92385,0.35086,0.32656,0.80894,0.0013994,0.0013994,0.0013994
93,10075.5,0.48378,0.38054,0.87223,0.967,0.97131,0.99061,0.94307,0.32305,0.31017,0.80103,0.0013928,0.0013928,0.0013928
94,10166.9,0.50915,0.40883,0.88052,0.98342,0.97245,0.99123,0.94466,0.32264,0.30549,0.80037,0.0013862,0.0013862,0.0013862
95,10257.1,0.49142,0.38908,0.87656,0.97453,0.97951,0.99164,0.94616,0.31268,0.2851,0.80254,0.0013796,0.0013796,0.0013796
96,10317.4,0.49867,0.40134,0.87389,0.9755,0.97914,0.99281,0.94736,0.32903,0.28378,0.80083,0.001373,0.001373,0.001373
